Name,Position,Company,Education,Location,Connections,Profile Link
David Taylor,CEO,Procter & Gamble,Duke University,"Cincinnati, Ohio Area",,https://www.linkedin.com/in/davidtaylorpg/
Dane E. Holmes,CEO,Eskalera Inc.,"Columbia College, Columbia University","San Francisco, California",,https://www.linkedin.com/in/dane-e-holmes-a4b92a9/
Jeff Jones,CEO,H&R Block,University of Dayton,"Kansas City, Missouri",,https://www.linkedin.com/in/jjonesii/
Mike Blandina,CEO,Bakkt,,"Atlanta, Georgia",500+,https://www.linkedin.com/in/mikeblandina/
Jim Fitterling,CEO,Dow,University of Missouri-Columbia,"Midland, Michigan",,https://www.linkedin.com/in/jim-fitterling/
Jeff L Fritz,CEO,Revel,Drake University,Greater Minneapolis-St. Paul Area,500+,https://www.linkedin.com/in/jefflfritz/
Corie Barry,CEO,Best Buy,College of St. Benedict,Greater Minneapolis-St. Paul Area,,https://www.linkedin.com/in/coriebarry/
Patrice Louvet,CEO,Ralph Lauren,ESCP Europe,"New York, New York",,https://www.linkedin.com/in/patrice-louvet/
Satya Nadella,CEO,Microsoft,The University of Chicago Booth School of Business,"Redmond, Washington",,https://www.linkedin.com/in/satyanadella/
Albert Bourla,CEO,Pfizer,Aristoteleion Panepistimion Thessalonikis,"New York, New York",,https://www.linkedin.com/in/albert-bourla-1a087219/
Scott Cutler,CEO,StockX,"University of California, Hastings College of the Law",San Francisco Bay Area,500+,https://www.linkedin.com/in/cutlerscott/
David Macdonald,Executive Vice President & Chief Sales Officer,SAS,University of Dundee,"Cary, North Carolina",500+,https://www.linkedin.com/in/davemac1/
Victor Mehren,CEO,Kar's Nuts,The University of Chicago Booth School of Business,Greater Chicago Area,500+,https://www.linkedin.com/in/victormehren/
Bradley Rencher,CEO,BambooHR,Northwestern University - Kellogg School of Management,"Salt Lake City, Utah",500+,https://www.linkedin.com/in/bradleyrencher/
Doug Hudson,CEO,Tend,Vanderbilt University - Owen Graduate School of Management,"Nashville, Tennessee",500+,https://www.linkedin.com/in/ldoughudson/
Lawrence Whittle,CEO,Parsable,University of East London (NELP),San Francisco Bay Area,500+,https://www.linkedin.com/in/lawrencewhittle/
Kyle Jackson,CEO,Talespin,University of Southern California,Greater Los Angeles Area,500+,https://www.linkedin.com/in/kylejackson/
Aman Bhutani,CEO,GoDaddy,Lancaster University,"Bellevue, Washington",500+,https://www.linkedin.com/in/amanbhutani/
Christal Bemont,CEO,Talend,Missouri Western State University,San Francisco Bay Area,500+,https://www.linkedin.com/in/christalbemont/
Nazzic Keene,CEO,SAIC,University of Arizona,"Fairfax, Virginia",500+,https://www.linkedin.com/in/nazzic-keene-586551/
Brent V. Furse,CEO,Vero Biotech,,"Atlanta, Georgia",500+,https://www.linkedin.com/in/brentfurse/
David Laiderman,CEO,OrderEx (An OPER Pay Company),Penn State University,"Saint Louis, Missouri",500+,https://www.linkedin.com/in/david-laiderman-343708/
Joseph Ansanelli,CEO,"Gladly, Inc.",The Wharton School,San Francisco Bay Area,,https://www.linkedin.com/in/ansanelli/
"James Eric Lane, L.I.O.N.",CEO,Fast Lane: Business and Process Analytics,Texas Tech University,"Dallas, Texas",500+,https://www.linkedin.com/in/james-eric-lane/
Sarah Krevans,CEO,Sutter Health,"University of California, Berkeley","Sacramento, California Area",,https://www.linkedin.com/in/sarahkrevans/
Steve Sloan,CEO,Contentful,"University of California, Berkeley","San Francisco, California",500+,https://www.linkedin.com/in/steve-sloan-213515/
Mike Roman,CEO,3M,University of Southern California,"Saint Paul, Minnesota",,https://www.linkedin.com/in/mike-roman-7758204/
Nigel Hunton,CEO,Photon Control Inc.,The University of Manchester,"San Jose, California",500+,https://www.linkedin.com/in/nigel-hunton-ab31756/
Revathi Advaithi,CEO,Flex,Thunderbird School of Global Management,San Francisco Bay Area,500+,https://www.linkedin.com/in/revathi-advaithi-5191271/
David Shim,CEO,Foursquare,University of Washington,"Seattle, Washington",500+,https://www.linkedin.com/in/davidshim/
Jay Larson,CEO,Optimizely,Harvard University,San Francisco Bay Area,500+,https://www.linkedin.com/in/larsonjay/
Kelly Kramer,Board Member,Cisco,Purdue University,San Francisco Bay Area,500+,https://www.linkedin.com/in/kelly-kramer-2aa8866/
Lynn Jurich,CEO,Sunrun,Stanford University Graduate School of Business,"San Francisco, California",,https://www.linkedin.com/in/lynn-jurich/
Marcelo Claure,CEO,WeWork,Bentley University,"New York, New York, United States",,https://www.linkedin.com/in/marcelo-claure-510619b/
Irina Novoselsky,CEO,CareerBuilder,NYU Stern School of Business,"New York, New York",500+,https://www.linkedin.com/in/irina-novoselsky-15239715/
Peter Leav,CEO,McAfee,Lehigh University,United States,500+,https://www.linkedin.com/in/peter-leav-8b5a116b/
Jack Blaha,CEO,Khoros,,"Austin, Texas",500+,https://www.linkedin.com/in/jack-blaha-b8329/
Dave Copps,CEO,Worlds,University of North Texas,"Dallas, Texas",500+,https://www.linkedin.com/in/davecopps/
Tomislav Mihaljevic,CEO,Cleveland Clinic,Harvard Business School,"Cleveland, Ohio",,https://www.linkedin.com/in/tmihaljevic/
Jim Sharpe,CEO,Aventri,University of Virginia,"New York, New York",500+,https://www.linkedin.com/in/jim-sharpe-878b9/
David Hunt,CEO,PGIM,The Wharton School,Greater New York City Area,,https://www.linkedin.com/in/david-a-hunt/
Mike E.,CEO,Unit4,London Business School,"Boca Raton, Florida",500+,https://www.linkedin.com/in/mikeettling/
Christopher Ennis,CEO,Urology Of Virginia,,"Towson, Maryland",500+,https://www.linkedin.com/in/christopher-ennis-03a796b/
Billy Milam,CEO,Hire Dynamics,Clemson University,Greater Atlanta Area,500+,https://www.linkedin.com/in/milam/
Kevin Samuelson,CEO,Infor,"University of California, Berkeley","New York, New York",500+,https://www.linkedin.com/in/kevin-samuelson-b415673/
Matt Zilli,CEO,Clarizen,"University of California, Berkeley - Walter A. Haas School of Business","San Mateo, California",500+,https://www.linkedin.com/in/mzilli/
Pierre-Yves Roussel,CEO,Tory Burch,The Wharton School,Greater New York City Area,500+,https://www.linkedin.com/in/pierre-yves-roussel-94a2b5a4/
Brad Cheedle,CEO,Otava,University of Northern Colorado,"Englewood, Colorado",500+,https://www.linkedin.com/in/bradcheedle/
Noam Bardin,CEO,Waze,,Greater New York City Area,,https://www.linkedin.com/in/noambardin/
Jeff Weiner,CEO,LinkedIn,The Wharton School,San Francisco Bay Area,,https://www.linkedin.com/in/jeffweiner08/
Robert M. Bakish,CEO,ViacomCBS,Columbia University - Columbia Business School,"New York, New York",,https://www.linkedin.com/in/bobbakish/
Salim Khan,CEO,Board / Advisor,,San Francisco Bay Area,500+,https://www.linkedin.com/in/salim-khan-5625b4/
Larry Dunivan,CEO,Namely,Northwestern University - Kellogg School of Management,"New York, New York",500+,https://www.linkedin.com/in/larrydunivan/
Tobin Thomas,CEO,Lifesight,RVS Institute of management studies and research,San Francisco Bay Area,500+,https://www.linkedin.com/in/tobbinthomas/
Raul Villar Jr.,CEO,Paycor,University of Connecticut School of Business,"Cincinnati, Ohio",500+,https://www.linkedin.com/in/raulvillar/
William Oesterle,CEO,"TMap,LLC",Purdue University,"Indianapolis, Indiana",500+,https://www.linkedin.com/in/william-oesterle-4a913563/
Lewie Dunsworth,CEO,Nuspire,University of Missouri-Kansas City,"Raymore, Missouri",500+,https://www.linkedin.com/in/lewiedunsworth/
Brent Bellm,CEO,BigCommerce,Harvard Business School,"Austin, Texas",500+,https://www.linkedin.com/in/brent-bellm-3b305214/
Rogelio Choy,CEO,Eaze,Stanford University Graduate School of Business,"San Francisco, California",500+,https://www.linkedin.com/in/rogeliochoy/
William Liuzza,CEO,EnergeiaWorks,John Jay College (CUNY),Greater New York City Area,500+,https://www.linkedin.com/in/williamliuzza/
Len Finkle,CEO,Profisee,University of Maryland,Greater Atlanta Area,500+,https://www.linkedin.com/in/len-finkle-9465b22/
Theodore Krantz,CEO,App Annie,The University of Texas at Dallas,"San Francisco, California",500+,https://www.linkedin.com/in/tedkrantz/
Kevin Chou,CEO,Taki,"University of California, Berkeley - Walter A. Haas School of Business","San Francisco, California",,https://www.linkedin.com/in/kevinchou/
Kerry Bailey,CEO,eSentire,University of Maryland Global Campus,"Naples, Florida",500+,https://www.linkedin.com/in/ktbailey/
Stan Pavlovsky,CEO,Shutterstock,City University of Seattle,"Rye, New York",500+,https://www.linkedin.com/in/stan-pavlovsky-ab26181/
John Tedesco,CEO,Drip,University of Pennsylvania - The Wharton School,"Minneapolis, Minnesota",500+,https://www.linkedin.com/in/johntedescojr/
Giuseppe Incitti,CEO,Sitetracker,,Greater New York City Area,500+,https://www.linkedin.com/in/giuseppeincitti/
Craig Charlton,CEO,SugarCRM,Monash University,"Denver, Colorado",500+,https://www.linkedin.com/in/craig-charlton-690a681/
Ashish Koul,CEO,Acqueon,Birla Institute of Technology and Science,San Francisco Bay Area,500+,https://www.linkedin.com/in/ashishkoul/
Karen White,CEO,RMS,,"Redwood City, California",500+,https://www.linkedin.com/in/karen-white-65244755/
Mark Davis,CEO,"Dowley Security Systems, Inc.",,"Houston, Texas Area",500+,https://www.linkedin.com/in/mark-davis-07958b/
Tom Langan,CEO,Veradigm,Fordham University,Greater New York City Area,500+,https://www.linkedin.com/in/tom-langan-34b923/
"David L. Katz, MD, MPH, FACPM, FACP, FACLM",CEO,Diet ID,Yale University School of Medicine,"Hamden, Connecticut, United States",,https://www.linkedin.com/in/david-l-katz-md-mph-facpm-facp-faclm-4798667/
Anil Dash,CEO,Glitch,,"New York, New York",,https://www.linkedin.com/in/anildash/
Chris Scott,CEO,vArida,DeVry University,Dallas/Fort Worth Area,500+,https://www.linkedin.com/in/chrisscottosi/
Clarke Murphy,CEO,Russell Reynolds Associates,University of Virginia,"New York, New York",,https://www.linkedin.com/in/clarkemurphy/
Roxxy Brown,CEO,Tangent Group International,Texas A&M University,"Dallas, Texas, United States",500+,https://www.linkedin.com/in/roxxybrown/
Matt Miszewski,CEO,AkitaBox,University of Wisconsin Law School,San Francisco Bay Area,500+,https://www.linkedin.com/in/mattmiszewski/
Alexander Atzberger,CEO,Episerver,Harvard Business School,"New York, New York",500+,https://www.linkedin.com/in/aatzberger/
Bryan Murphy,CEO,Breather,Miami University,"New York, New York",500+,https://www.linkedin.com/in/bryanmurphy2/
Ted Teele,CEO,Touchtown,Harvard Business School,Greater Pittsburgh Area,500+,https://www.linkedin.com/in/ted-teele-26b3421/
Michael Jones,CEO,Spoonflower,Eastern Illinois University,"Raleigh-Durham, North Carolina Area",500+,https://www.linkedin.com/in/mdjonesy/
John Battelle,CEO,Recount Media,"University of California, Berkeley","Ross, California",,https://www.linkedin.com/in/johnbattelle/
Ricardo Bevilacqua,CEO,G4 Global Partners,Harvard,"Fort Lauderdale, Florida",500+,https://www.linkedin.com/in/ricardobevilacqua/
Charles I Alvarez,CEO,Cornerstone Growth Solutions,Texas Tech University,"Houston, Texas Area",500+,https://www.linkedin.com/in/charlesialvarez/
Jamie Dimon,CEO,JPMorgan Chase,Harvard Business School,"New York, New York",,https://www.linkedin.com/in/jamie-dimon-65634172/
Marillyn Hewson,CEO,Lockheed Martin,University of Alabama,"Bethesda, Maryland",,https://www.linkedin.com/in/marillynhewson/
Lynn Good,CEO,Duke Energy Corporation,Miami University,"Charlotte, North Carolina",,https://www.linkedin.com/in/lynn-good-831b4a112/
"John W. Rogers, Jr.",CEO,Ariel Investments,Princeton University,"Chicago, Illinois",,https://www.linkedin.com/in/john-w-rogers-jr-72723b112/
Ian C. Read,Executive Chairman of the Board,Pfizer,,"New York, New York",,https://www.linkedin.com/in/iancread/
Andrés Gluski,CEO,The AES Corporation,University of Virginia,"Arlington, Virginia",500+,https://www.linkedin.com/in/agluski/
David M. Solomon,CEO,Goldman Sachs,Hamilton College,"New York, New York",,https://www.linkedin.com/in/david-m-solomon/
C. Lizabeth Powell,CEO,Instant Dest,,United States,500+,https://www.linkedin.com/in/c-lizabeth-p-48000045/
Alec Miloslavsky,CEO,EIS Group Ltd,,San Francisco Bay Area,500+,https://www.linkedin.com/in/alecmiloslavsky/
Gabe Greenberg,CEO,GABBCON,Kellogg Graduate School of Management,Greater Los Angeles Area,500+,https://www.linkedin.com/in/gabegreenberg/
Walter Wolf,CEO,"AMARANTH LIFE SCIENCES PHARMACEUTICAL, INC.",,"Boca Raton, Florida",500+,https://www.linkedin.com/in/walter-wolf-838546121/
Anurag Gupta,CEO,Cross Atlantic Software Pvt Ltd,"HARLAL INST. OF MANAGEMENT & TECHNOLOGY PLOT No. - 8, INSTITUTIONAL AREA, GREATER NOIDA Ph. No :- 09810128598",US,500+,https://www.linkedin.com/in/anurag-gupta-8742b6101/
Betty Liu,"Executive Vice Chairman, NYSE Group. Chief Experience Officer, Intercontinental Exchange.",NYSE,University of Pennsylvania,"New York, New York",,https://www.linkedin.com/in/bettywliu/
Thomas Capone,CEO,NYDLA.org,Purdue University,Greater New York City Area,500+,https://www.linkedin.com/in/thomasacapone/
Oscar Munoz,CEO,United Airlines,University of Southern California - Marshall School of Business,Greater Chicago Area,500+,https://www.linkedin.com/in/oscarmunozua/
John Chen,CEO,BlackBerry,California Institute of Technology,"Dublin, California",,https://www.linkedin.com/in/john-chen-20988b4/
Mani Vadivel,CEO,NU Technology Inc,Madras University,San Francisco Bay Area,500+,https://www.linkedin.com/in/mani-vadivel-817aa910/
Benjamin Nazarian,CEO,TheraGun,University of Southern California Law School,Greater Los Angeles Area,303,https://www.linkedin.com/in/benjamin-nazarian-8681a4a/
Stephen Harvey,CEO,BitSight,,Greater New York City Area,500+,https://www.linkedin.com/in/stephen-harvey-667a411b/
Raj Patil,CEO,Orion,Villanova University,"Summit, New Jersey",500+,https://www.linkedin.com/in/rajpatil1/
Brian Shin,CEO,OG Digital,California State University,Greater Los Angeles Area,500+,https://www.linkedin.com/in/brshin/
Adam Pettit,CEO,Kandji,University of Oregon - Charles H. Lundquist College of Business,"San Diego, California",500+,https://www.linkedin.com/in/adampettit/
Scott Stephenson,CEO,Verisk Analytics,Harvard Business School,Greater New York City Area,500+,https://www.linkedin.com/in/scottgstephenson/
Pavana (Polineni) Gadde,CEO,Shale Value,MIT Sloan School of Management,"Houston, Texas",500+,https://www.linkedin.com/in/pavanapolinenigadde/
Nelson Fonseca,CEO,Cyxtera Technologies,University of Miami,"Miami, Florida",500+,https://www.linkedin.com/in/nelsonfonseca/
Frank Speiser,CEO,Talla,Columbia University in the City of New York,"New York, New York",500+,https://www.linkedin.com/in/fspeiser/
Sasan Goodarzi,CEO,Intuit,Northwestern University - Kellogg School of Management,"Mountain View, California",,https://www.linkedin.com/in/sasan-goodarzi/
Marc Pickren,CEO,OutboundEngine,Utah State University,"Austin, Texas",500+,https://www.linkedin.com/in/marcpickren/
Shahriar K,CEO,IWANDO LLC,,"Mountain View, California",500+,https://www.linkedin.com/in/shahriar-k-a3271293/
Susan Cain,"Bestselling author, award-winning speaker, and chief revolutionary",Quiet Revolution,Harvard Law School,"New York, New York",,https://www.linkedin.com/in/susancain/
Nagesh Srini,CEO,Ideaon,Harvard Business School,"Basking Ridge, New Jersey",500+,https://www.linkedin.com/in/nageshsriniideaon/
Nitin Rakesh,CEO,US-India Strategic Partnership Forum,Harvard Business School,"New York, New York",500+,https://www.linkedin.com/in/nitin-rakesh/
Dan Streetman,CEO,TIBCO,Harvard Business School,"Palo Alto, California",500+,https://www.linkedin.com/in/danstreetman/
shawn sloves,CEO,Fundamental Interactions,University of Massachusetts Lowell,Greater New York City Area,500+,https://www.linkedin.com/in/shawn-sloves-5170a55/
Karen Hsu,CEO,BlockchainIntel,Stanford University,"San Mateo, California",500+,https://www.linkedin.com/in/karen-hsu/
Kevin M. Jones,CEO,Rackspace,James Madison University,"San Antonio, Texas",500+,https://www.linkedin.com/in/kjones150/
Charlie Gottdiener,CEO,"Neustar, Inc.",The Wharton School,"Sterling, Virginia",500+,https://www.linkedin.com/in/charliegottdiener/
Ali Attar,CEO,Realtyna,,San Francisco Bay Area,500+,https://www.linkedin.com/in/ali-attar-108a014/
John Marino,CEO,Waterfield Technologies,Covenant College,"Tulsa, Oklahoma",500+,https://www.linkedin.com/in/john-marino-383a5419/
Jean Meyer,CEO,Wanted,Columbia University - Columbia Business School,"New York, New York",500+,https://www.linkedin.com/in/meyerjean/
Michael Lombardo,CEO,GlideFast Consulting,,Greater Boston Area,500+,https://www.linkedin.com/in/glidefast/
Joey Capers,CEO,JacksApp,Google,"Philadelphia, Pennsylvania",500+,https://www.linkedin.com/in/joey-capers-a2349b74/
Rich Fennessy,CEO,Trace3,Michigan State University,"Paradise Valley, Arizona",500+,https://www.linkedin.com/in/richafenn/
Russell P Reeder,CEO,Infrascale,,Washington D.C. Metro Area,500+,https://www.linkedin.com/in/russellpreeder/
Michelle Finneran Dennedy,CEO,DrumWave,Fordham University School of Law,"Los Altos, California",500+,https://www.linkedin.com/in/michelledennedy/
Adam Cohen,CEO,Laso,,"New York, New York",500+,https://www.linkedin.com/in/adamtcohen/
Mike Reinhart,CEO,Quisitive LedgerPay,University of St. Thomas,"Southlake, Texas",500+,https://www.linkedin.com/in/mikereinhart/
Guru Pai,CEO,Privafy,University of Pennsylvania - The Wharton School,"Burlington, Massachusetts",500+,https://www.linkedin.com/in/guru-pai-a5a48a8/
Dave Ricks,CEO,Eli Lilly and Company,Indiana University - Kelley School of Business,"Indianapolis, Indiana Area",,https://www.linkedin.com/in/davearicks/
David Giannetto,CEO,WorkWave,Rutgers University - Newark,"Ringoes, New Jersey",500+,https://www.linkedin.com/in/david-giannetto-79b0621/
Tim Page,CEO,Datrium,,San Francisco Bay Area,500+,https://www.linkedin.com/in/pageee1/
Pete Lamson,CEO,JazzHR,,"Sherborn, Massachusetts",500+,https://www.linkedin.com/in/petelamson/
Ted Elliott,CEO,Copado,University of San Francisco School of Law,"San Francisco, California",500+,https://www.linkedin.com/in/tedelliott/
Matthew Levesque,CEO,connectRN Inc.,Siena College,Greater Boston Area,500+,https://www.linkedin.com/in/matthewlevesque/
Chinwe Onyeagoro,CEO,PocketSuite,Harvard University,"San Francisco, California",500+,https://www.linkedin.com/in/chinweonyeagoro/
Arvind Krishna,CEO,IBM,University of Illinois at Urbana-Champaign,New York City Metropolitan Area,500+,https://www.linkedin.com/in/arvindkrishna/
Mark Begor,CEO,Equifax,Syracuse University,Greater Boston Area,500+,https://www.linkedin.com/in/mark-begor-1837b58b/
"James Walker, CISSP",CEO,CloudHesive,Old Dominion University,"Fort Lauderdale, Florida",500+,https://www.linkedin.com/in/jimwalker/
Glenn Kelman,CEO,Redfin,"University of California, Berkeley",Greater Seattle Area,,https://www.linkedin.com/in/glennkelman/
Manish Varma,CEO,"Mareana Inc., a 2019 Gartner Cool Vendor",The Wharton School,Greater New York City Area,500+,https://www.linkedin.com/in/mvarma/
Mazeer Mawjood,CEO,AuroraRCM,University of the People,United States,500+,https://www.linkedin.com/in/mazeer-mawjood-21511286/
Reddy Marri,CEO,EvGateway,New Jersey Institute of Technology,"Irvine, California",500+,https://www.linkedin.com/in/reddymarri/
Joel Dehlin,CEO,"Kuali, Inc.",Brigham Young University,"Alpine, Utah",500+,https://www.linkedin.com/in/joeldehlin/
Shawn Lane,CEO,LivTech,North Carolina State University,"Knoxville, Tennessee, United States",500+,https://www.linkedin.com/in/shawnhlane/
Mark Hammer,CEO,Bloomfire,University of Kansas,"Austin, Texas",500+,https://www.linkedin.com/in/mmhammer/
Kelly Rodriques,CEO,Forge (formerly Equidate),,San Francisco Bay Area,500+,https://www.linkedin.com/in/kelly-rodriques-9b49418/
Bruce Broussard,CEO,Humana,University of Houston,"Louisville, Kentucky",,https://www.linkedin.com/in/bruce-broussard-ba2b69b/
Harry Curtin,CEO,BestIT,,"Phoenix, Arizona Area",500+,https://www.linkedin.com/in/harrycurtin/
Morag Lucey,CEO,Televerde,,"Phoenix, Arizona Area",500+,https://www.linkedin.com/in/morag-lucey-951202/
Josh Smith,CEO,"Metova, Inc.",,"Conway, Arkansas",500+,https://www.linkedin.com/in/joshsmith02/
Cheryl Brady,CEO,"Strategic Capital Partners, Inc.",University of Colorado at Denver,"Denver, Colorado",500+,https://www.linkedin.com/in/bradycheryl/
Brent L. Saunders,CEO,Allergan,Temple University - Fox School of Business and Management,"Warren, New Jersey",,https://www.linkedin.com/in/brentlsaunders/
Sally Susman,Executive Vice President and Chief Corporate Affairs Officer,Pfizer,Connecticut College,"New York, New York",,https://www.linkedin.com/in/sallysusman/
Joe Levy,CEO,Uplevel,Northwestern University - Kellogg School of Management,"Seattle, Washington",500+,https://www.linkedin.com/in/mrjoelevy/
Shaun Bank,CEO,ImagineX Consulting,The University of Georgia,"Atlanta, Georgia",500+,https://www.linkedin.com/in/shaun-bank/
Jason Hirschhorn,CEO,Pandora,New York University - Leonard N. Stern School of Business,"New York, New York",,https://www.linkedin.com/in/jason-hirschhorn-820a9b43/
Ben Sardella,CEO,RevShoppe (formerly CopyShoppe),Boston University,"Los Gatos, California",500+,https://www.linkedin.com/in/bensardella/
Jon Belmonte,CEO,AutoVitals,Northwestern University - Kellogg School of Management,"La Jolla, California",500+,https://www.linkedin.com/in/jonbelmonte/
Ray Greer,CEO,Omnitracs,University of Utah,Dallas/Fort Worth Area,500+,https://www.linkedin.com/in/ray-greer-84b86318/
John Valiton,CEO,Reemo,University of Minnesota-Twin Cities,Greater Minneapolis-St. Paul Area,500+,https://www.linkedin.com/in/johnvaliton/
Charles Bender,CEO,Attentus Technologies,Massachusetts Institute of Technology,"Enumclaw, Washington",500+,https://www.linkedin.com/in/chuckbender/
Tom Pallack,CEO,SITO Mobile,University of Arizona,Greater Los Angeles Area,500+,https://www.linkedin.com/in/tompallack/
Marc Simmons,CEO,Simco Services... Simco Bank..Simco HR.. Simco Risk Management.. Simco Insurance Center,State University of New York College at Buffalo,"Canandaigua, New York",500+,https://www.linkedin.com/in/marc-simmons-611b8a7/
Ray Sylvain,CEO,"SignOnTheGo, LLC",Notre Dame de Namur University,"Boca Raton, Florida",500+,https://www.linkedin.com/in/ray-sylvain-750b814/
Siobhan Dullea,CEO,MassChallenge,Boston University,Greater Boston Area,500+,https://www.linkedin.com/in/siobhandullea/
Ram Krishnan,CEO,Reframe Ventures LLC,The University of Chicago Booth School of Business,"Carlsbad, California",500+,https://www.linkedin.com/in/ramkrishnan/
Gregg Dixon,CEO,"Voltus, Inc.",Boston College,Greater Boston Area,500+,https://www.linkedin.com/in/gregg-dixon-4521b61/
Jennifer Sunshine Steffens,CEO,IOActive,University of Mary Washington,"Seattle, Washington",500+,https://www.linkedin.com/in/jsteffens/
Ben Hawn,CEO,ISG Partners,,"Atlanta, Georgia",500+,https://www.linkedin.com/in/ben-hawn-08787226/
Cory Weisman,CEO,Euclideon Holographics,"Southern Illinois University, Carbondale","Beverly Hills, California",500+,https://www.linkedin.com/in/cory-weisman-4966b854/
Sharon Vosmek,CEO,Astia,"University of Wisconsin, Madison","San Francisco, California",500+,https://www.linkedin.com/in/sharonvosmek/
"Brooke Alexander, D.O.",CEO,Sakhmet.org,Western University of Health Sciences,Greater Los Angeles Area,500+,https://www.linkedin.com/in/brooke-alexander-d-o-6906ba77/
Carl C.,CEO,Federal Reserve Bank of San Francisco,"University of California, Berkeley","Rancho Santa Margarita, California",500+,https://www.linkedin.com/in/carl-c-a9b60b6/
Matt Alderman,CEO,Security Weekly Productions,Case Western Reserve University,"Larkspur, Colorado",500+,https://www.linkedin.com/in/matthewalderman/
Amir Mashkoori,CEO,ISDI Digital University™,San Jose State University,San Francisco Bay Area,500+,https://www.linkedin.com/in/amir-mashkoori/
Christina Lee Schmohl,CEO,The Clean Method,,"Stony Brook, New York",500+,https://www.linkedin.com/in/christina-lee-schmohl-796b4226/
Matt Sweetwood,CEO,LUXnow,University of Pennsylvania,"Miami Beach, Florida",500+,https://www.linkedin.com/in/msweetwood/
